ordinal,ordinal,nominal,nominal,ordinal,ordinal,ordinal,nominal,nominal,nominal,ordinal,nominal,nominal,nominal,ordinal,ordinal,ordinal,nominal,ordinal,nominal,nominal,nominal,nominal,nominal,nominal,nominal,nominal,nominal
empcat,direcc,busca,voz,ingcat,cochecat,edad,marital,genero,idllam,ingres,internet,espera,multline,educ,residen,coche,retirado,satlab,inalam,noticias,fax,cd,pc,pda,tv,video,respuest
1.0,4.0,1.0,0.0,2.0,1.0,24.0,1.0,0.0,1.0,26.0,1.0,0.0,0.0,4.0,3.0,12.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,1.0,1.0,2.0,2.0,21.0,1.0,0.0,0.0,37.0,1.0,0.0,0.0,3.0,7.0,18.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,2.0,1.0,1.0,1.0,1.0,24.0,0.0,0.0,0.0,19.0,1.0,0.0,1.0,2.0,1.0,9.6,0.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1.0,5.0,1.0,1.0,2.0,2.0,24.0,0.0,0.0,1.0,35.0,1.0,1.0,0.0,4.0,1.0,17.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,20.0,0.0,0.0,1.0,20.0,1.0,1.0,1.0,2.0,2.0,9.5,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,2.0,1.0,0.0,2.0,2.0,28.0,1.0,0.0,0.0,31.0,1.0,0.0,1.0,3.0,2.0,15.6,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
1.0,35.0,1.0,1.0,2.0,2.0,59.0,1.0,0.0,0.0,32.0,1.0,1.0,0.0,2.0,2.0,15.9,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
1.0,1.0,1.0,0.0,2.0,2.0,20.0,0.0,0.0,0.0,36.0,1.0,0.0,1.0,3.0,1.0,17.5,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
1.0,4.0,1.0,0.0,1.0,1.0,29.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,4.0,1.0,10.9,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,3.0,1.0,0.0,2.0,2.0,36.0,0.0,0.0,0.0,43.0,1.0,0.0,0.0,2.0,2.0,20.2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,6.0,1.0,0.0,2.0,2.0,26.0,0.0,0.0,0.0,41.0,1.0,0.0,1.0,2.0,3.0,20.9,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
1.0,6.0,1.0,1.0,1.0,1.0,25.0,0.0,0.0,1.0,23.0,0.0,1.0,1.0,4.0,2.0,11.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,0.0,1.0,0.0,1.0,1.0,23.0,0.0,0.0,0.0,24.0,0.0,0.0,1.0,4.0,1.0,11.8,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,5.0,1.0,1.0,1.0,1.0,24.0,0.0,0.0,0.0,22.0,1.0,1.0,0.0,2.0,1.0,10.6,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,2.0,1.0,1.0,1.0,1.0,28.0,1.0,0.0,1.0,16.0,1.0,1.0,0.0,4.0,3.0,7.9,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1.0,5.0,1.0,1.0,2.0,2.0,36.0,0.0,0.0,1.0,31.0,0.0,1.0,1.0,3.0,3.0,15.6,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,21.0,0.0,0.0,2.0,2.0,58.0,1.0,0.0,1.0,46.0,1.0,0.0,1.0,2.0,2.0,22.2,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
1.0,12.0,1.0,1.0,2.0,2.0,41.0,0.0,0.0,1.0,36.0,0.0,1.0,0.0,3.0,2.0,18.2,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
1.0,1.0,1.0,0.0,1.0,1.0,26.0,0.0,0.0,1.0,19.0,1.0,1.0,1.0,1.0,1.0,9.4,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1.0,7.0,1.0,0.0,1.0,1.0,26.0,1.0,0.0,0.0,15.0,1.0,0.0,1.0,1.0,3.0,7.6,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
1.0,3.0,1.0,0.0,2.0,1.0,27.0,1.0,0.0,1.0,26.0,1.0,1.0,0.0,3.0,4.0,13.1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,0.0,1.0,1.0,1.0,1.0,24.0,0.0,0.0,1.0,19.0,1.0,1.0,0.0,3.0,3.0,9.6,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,0.0,1.0,0.0,1.0,1.0,18.0,0.0,0.0,0.0,13.0,1.0,0.0,1.0,2.0,2.0,6.6,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
1.0,2.0,1.0,1.0,2.0,1.0,38.0,0.0,0.0,0.0,30.0,0.0,1.0,1.0,4.0,1.0,14.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,0.0,1.0,0.0,1.0,1.0,19.0,0.0,0.0,1.0,15.0,0.0,1.0,1.0,2.0,3.0,7.4,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,7.0,1.0,1.0,2.0,1.0,32.0,1.0,0.0,1.0,27.0,1.0,1.0,1.0,2.0,4.0,12.8,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
1.0,23.0,1.0,0.0,2.0,2.0,48.0,0.0,0.0,0.0,40.0,9.0,0.0,1.0,1.0,2.0,19.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
1.0,1.0,0.0,1.0,1.0,1.0,21.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,2.0,4.0,7.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
1.0,13.0,1.0,1.0,1.0,1.0,33.0,1.0,0.0,1.0,21.0,1.0,1.0,0.0,1.0,3.0,10.5,0.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,3.0,1.0,1.0,2.0,1.0,27.0,0.0,0.0,0.0,28.0,1.0,1.0,1.0,3.0,1.0,14.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
1.0,14.0,1.0,0.0,2.0,2.0,33.0,1.0,0.0,1.0,42.0,0.0,0.0,0.0,4.0,6.0,20.8,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
1.0,10.0,1.0,1.0,2.0,1.0,30.0,0.0,0.0,1.0,25.0,1.0,1.0,1.0,4.0,1.0,12.6,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
1.0,4.0,1.0,1.0,4.0,3.0,27.0,0.0,0.0,0.0,102.0,0.0,1.0,1.0,4.0,2.0,49.2,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,8.0,0.0,1.0,1.0,1.0,60.0,1.0,0.0,1.0,9.0,1.0,1.0,0.0,3.0,2.0,4.4,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
1.0,2.0,1.0,1.0,2.0,1.0,21.0,0.0,0.0,0.0,28.0,0.0,1.0,1.0,3.0,4.0,13.6,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,20.0,0.0,0.0,1.0,18.0,1.0,0.0,1.0,3.0,1.0,9.1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,2.0,1.0,1.0,1.0,1.0,21.0,1.0,0.0,0.0,19.0,1.0,0.0,1.0,3.0,4.0,9.6,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,15.0,0.0,0.0,2.0,2.0,34.0,1.0,0.0,0.0,36.0,1.0,0.0,0.0,3.0,6.0,17.6,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
1.0,0.0,1.0,1.0,2.0,2.0,23.0,1.0,0.0,0.0,36.0,1.0,0.0,0.0,4.0,6.0,18.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.0,1.0,1.0,1.0,1.0,19.0,1.0,0.0,1.0,14.0,1.0,1.0,1.0,1.0,3.0,7.2,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
