ordinal,ordinal,nominal,nominal,ordinal,ordinal,ordinal,nominal,nominal,nominal,ordinal,nominal,nominal,nominal,ordinal,ordinal,ordinal,nominal,ordinal,nominal,nominal,nominal,nominal,nominal,nominal,nominal,nominal,nominal
empcat,direcc,busca,voz,ingcat,cochecat,edad,marital,genero,idllam,ingres,internet,espera,multline,educ,residen,coche,retirado,satlab,inalam,noticias,fax,cd,pc,pda,tv,video,respuest
1,4,1,0,2,1,24,1,0,1,26,1,0,0,4,3,12.5,0,1,0,0,0,0,0,0,0,0,1
1,1,1,1,2,2,21,1,0,0,37,1,0,0,3,7,18.6,0,1,0,0,0,0,0,0,0,0,1
1,2,1,1,1,1,24,0,0,0,19,1,0,1,2,1,9.6,0,3,1,1,0,0,1,1,0,0,0
1,5,1,1,2,2,24,0,0,1,35,1,1,0,4,1,17.4,0,2,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,20,0,0,1,20,1,1,1,2,2,9.5,0,2,1,1,1,0,0,1,0,0,1
1,2,1,0,2,2,28,1,0,0,31,1,0,1,3,2,15.6,0,3,1,0,1,0,1,1,0,0,1
1,35,1,1,2,2,59,1,0,0,32,1,1,0,2,2,15.9,0,1,1,1,1,0,1,1,0,0,1
1,1,1,0,2,2,20,0,0,0,36,1,0,1,3,1,17.5,0,2,0,0,0,0,1,1,0,1,1
1,4,1,0,1,1,29,0,0,0,22,0,0,0,4,1,10.9,0,2,1,1,1,0,0,0,0,0,1
1,3,1,0,2,2,36,0,0,0,43,1,0,0,2,2,20.2,0,1,0,1,0,0,0,0,0,0,1
1,6,1,0,2,2,26,0,0,0,41,1,0,1,2,3,20.9,0,1,1,0,1,0,1,1,0,0,1
1,6,1,1,1,1,25,0,0,1,23,0,1,1,4,2,11.5,0,1,1,0,1,0,0,1,0,0,1
1,0,1,0,1,1,23,0,0,0,24,0,0,1,4,1,11.8,0,1,0,1,1,0,0,1,0,0,1
1,5,1,1,1,1,24,0,0,0,22,1,1,0,2,1,10.6,0,2,0,1,0,0,0,0,0,0,1
1,2,1,1,1,1,28,1,0,1,16,1,1,0,4,3,7.9,0,1,1,0,1,0,1,1,0,0,0
1,5,1,1,2,2,36,0,0,1,31,0,1,1,3,3,15.6,0,1,1,1,1,0,0,1,0,0,1
1,21,0,0,2,2,58,1,0,1,46,1,0,1,2,2,22.2,0,2,1,0,1,0,1,1,0,0,1
1,12,1,1,2,2,41,0,0,1,36,0,1,0,3,2,18.2,0,2,0,0,1,0,1,1,0,0,1
1,1,1,0,1,1,26,0,0,1,19,1,1,1,1,1,9.4,0,1,1,0,1,1,1,0,0,0,1
1,7,1,0,1,1,26,1,0,0,15,1,0,1,1,3,7.6,0,2,1,0,1,1,1,1,0,1,0
1,3,1,0,2,1,27,1,0,1,26,1,1,0,3,4,13.1,0,1,1,1,1,0,0,1,0,0,1
1,0,1,1,1,1,24,0,0,1,19,1,1,0,3,3,9.6,0,1,1,0,1,0,0,1,0,0,1
1,0,1,0,1,1,18,0,0,0,13,1,0,1,2,2,6.6,0,1,1,0,1,0,1,1,0,0,1
1,2,1,1,2,1,38,0,0,0,30,0,1,1,4,1,14.5,0,1,1,0,1,0,0,1,0,0,1
1,0,1,0,1,1,19,0,0,1,15,0,1,1,2,3,7.4,0,1,1,0,1,0,0,1,0,0,1
1,7,1,1,2,1,32,1,0,1,27,1,1,1,2,4,12.8,0,1,1,0,1,0,1,1,0,0,1
1,23,1,0,2,2,48,0,0,0,40,9,0,1,1,2,19.4,0,1,1,0,0,0,1,1,0,0,1
1,1,0,1,1,1,21,0,0,0,14,0,0,1,2,4,7,0,2,0,0,1,1,1,1,0,0,1
1,13,1,1,1,1,33,1,0,1,21,1,1,0,1,3,10.5,0,3,1,1,1,0,0,1,0,0,1
1,3,1,1,2,1,27,0,0,0,28,1,1,1,3,1,14,0,1,1,0,1,1,1,1,0,1,1
1,14,1,0,2,2,33,1,0,1,42,0,0,0,4,6,20.8,0,3,0,0,1,0,1,1,0,0,1
1,10,1,1,2,1,30,0,0,1,25,1,1,1,4,1,12.6,0,2,1,0,1,0,1,1,0,0,1
1,4,1,1,4,3,27,0,0,0,102,0,1,1,4,2,49.2,0,1,1,0,1,0,0,1,0,0,1
1,8,0,1,1,1,60,1,0,1,9,1,1,0,3,2,4.4,1,2,1,1,1,1,1,1,0,1,1
1,2,1,1,2,1,21,0,0,0,28,0,1,1,3,4,13.6,0,3,1,0,1,0,1,1,0,0,1
1,1,1,1,1,1,20,0,0,1,18,1,0,1,3,1,9.1,0,1,0,1,1,0,0,1,0,0,1
1,2,1,1,1,1,21,1,0,0,19,1,0,1,3,4,9.6,0,2,1,0,1,0,0,0,0,0,1
1,15,0,0,2,2,34,1,0,0,36,1,0,0,3,6,17.6,0,1,0,1,0,0,1,1,0,0,1
1,0,1,1,2,2,23,1,0,0,36,1,0,0,4,6,18,0,2,0,1,0,0,0,0,0,0,1
1,0,1,1,1,1,19,1,0,1,14,1,1,1,1,3,7.2,0,1,1,0,1,0,1,1,0,1,1
1,6,1,1,2,2,32,1,0,1,30,1,0,1,3,3,15.1,0,1,0,0,1,0,0,0,0,0,1
1,0,1,0,2,2,36,0,0,1,37,1,1,1,3,1,18.5,0,1,1,0,1,0,1,1,0,0,1
1,3,1,1,1,1,28,1,0,1,15,1,1,1,3,5,7.4,0,1,1,0,1,0,1,1,0,0,1
1,3,1,1,2,2,30,0,0,1,46,1,1,1,4,1,22.2,0,2,1,0,1,0,0,1,0,0,1
1,0,0,1,2,2,19,0,0,0,34,1,0,1,2,2,17.1,0,2,1,0,1,0,1,0,0,1,1
1,6,1,1,3,3,26,0,0,1,65,0,1,0,5,1,31.9,0,1,0,0,1,0,0,1,0,0,1
1,4,1,0,2,2,31,0,0,1,33,0,1,0,5,1,16.4,0,1,0,1,1,0,0,1,0,0,1
1,11,1,0,2,1,31,1,0,1,29,1,0,1,3,4,14,0,1,0,1,0,0,0,1,0,0,0
1,1,1,1,2,2,20,1,0,1,30,0,1,1,3,4,15.1,0,3,1,1,1,0,1,1,0,0,1
1,4,1,0,2,2,36,0,0,0,34,0,1,1,2,1,16.6,0,2,1,0,1,0,1,1,0,0,1
